iter	Logloss
0	0.6637196983
1	0.6389133943
2	0.6197851446
3	0.6026716764
4	0.5916318561
5	0.582802576
6	0.5738157406
7	0.5675015372
8	0.5617260122
9	0.5562599012
10	0.5518910683
11	0.5476351371
12	0.5446022331
13	0.5418811212
14	0.5394618757
15	0.53672876
16	0.5347661328
17	0.5329476695
18	0.5313586803
19	0.5299522512
20	0.5285018453
21	0.5269088604
22	0.5257925236
23	0.5243115087
24	0.5234058313
25	0.5222806586
26	0.5212947558
27	0.5204033773
28	0.5196899037
29	0.519186112
30	0.5184112927
31	0.5175749817
32	0.5171015169
33	0.5162175023
34	0.5157683132
35	0.5152505308
36	0.514664845
37	0.5141419145
38	0.5136525323
39	0.513137049
40	0.5124980957
41	0.512138476
42	0.5117976851
43	0.5112323832
44	0.5108597504
45	0.5104353247
46	0.5100775066
47	0.5097301826
48	0.5093043781
49	0.5089459832
50	0.5087174118
51	0.5084405634
52	0.508087859
53	0.5077434222
54	0.5074123087
55	0.5070916426
56	0.5067932191
57	0.5065954193
58	0.5062946304
59	0.5059742927
60	0.5056875374
61	0.5054848377
62	0.5051922542
63	0.5050036084
64	0.5046879334
65	0.5044845083
66	0.5042331869
67	0.504038209
68	0.5038093463
69	0.5035752818
70	0.503431808
71	0.5033052005
72	0.5030768722
73	0.5028709811
74	0.5027259594
75	0.5025553521
76	0.5023716373
77	0.5022196193
78	0.5021072727
79	0.5019024994
80	0.5017550092
81	0.5015994887
82	0.5014315637
83	0.5012860821
84	0.5011685461
85	0.5010307633
86	0.5009215268
87	0.5007348908
88	0.5006151669
89	0.5005303746
90	0.5004201344
91	0.5002497568
92	0.5001037536
93	0.4999841469
94	0.4999186068
95	0.4998266597
96	0.4997067078
97	0.4995547778
98	0.4994319849
99	0.4992977736
100	0.4991572518
101	0.4990370463
102	0.4989183988
103	0.4988286518
104	0.4986893382
105	0.4986274822
106	0.4984705762
107	0.4982949233
108	0.498161383
109	0.4980792252
110	0.4979868624
111	0.4978729555
112	0.4977757506
113	0.4976691542
114	0.4975664319
115	0.4974777692
116	0.4973919869
117	0.4973066601
118	0.4971971157
119	0.4970928311
120	0.4969691529
121	0.4968608662
122	0.4967672235
123	0.4966498939
124	0.4965419341
125	0.4964677697
126	0.4963808775
127	0.496332767
128	0.4962686158
129	0.4962076396
130	0.4961835465
131	0.4960695978
132	0.4959735933
133	0.4958698102
134	0.4957408898
135	0.4956523719
136	0.4955378011
137	0.4954621078
138	0.4953440294
139	0.4952664688
140	0.4952352995
141	0.4951785106
142	0.4951030272
143	0.4949924055
144	0.4949412894
145	0.4948659055
146	0.4948370102
147	0.4948006397
148	0.4947164831
149	0.4946264385
150	0.4945196804
151	0.494447985
152	0.4943913967
153	0.4943244588
154	0.4942421925
155	0.4941459677
156	0.4940599289
157	0.4939911142
158	0.4939332673
159	0.4938456893
160	0.4937608243
161	0.4936911559
162	0.4936194205
163	0.4935616968
164	0.493469169
165	0.4933873703
166	0.4933197653
167	0.4933070282
168	0.4932282631
169	0.4931296592
170	0.4930500012
171	0.4930449566
172	0.4929695094
173	0.4928729963
174	0.4928120463
175	0.4927376351
176	0.4926561342
177	0.4925655941
178	0.4924929141
179	0.4923883233
180	0.4922972951
181	0.4922154045
182	0.492146071
183	0.4920945019
184	0.4920113727
185	0.4919577376
186	0.4918852539
187	0.4918516139
188	0.491769427
189	0.4917104731
190	0.4916575779
191	0.4915997333
192	0.4915213942
193	0.4914565587
194	0.4913983692
195	0.4913458445
196	0.4912721866
197	0.4912225733
198	0.4911701654
199	0.491091276
200	0.4910415347
201	0.4909912046
202	0.490960298
203	0.4908935293
204	0.4908118358
205	0.490726833
206	0.490674879
207	0.490600885
208	0.4905315637
209	0.4904905937
210	0.4904174528
211	0.4903732255
212	0.4903243225
213	0.4902843371
214	0.4902293255
215	0.4901735472
216	0.4901328063
217	0.4900950472
218	0.4900436803
219	0.4899823372
220	0.4899334281
221	0.4898657423
222	0.4898207628
223	0.4897627957
224	0.489699245
225	0.4896444965
226	0.4895911288
227	0.4895555675
228	0.4894783329
229	0.4894363046
230	0.4893925237
231	0.4893442978
232	0.489294929
233	0.4892510614
234	0.4891918185
235	0.4891100966
236	0.4890520605
237	0.4890001923
238	0.4889479265
239	0.4888998706
240	0.4888561464
241	0.4888114668
242	0.4887907291
243	0.4887516412
244	0.4886918632
245	0.4886548407
246	0.4886357406
247	0.4885956583
248	0.488543635
249	0.4885053665
250	0.4884509912
251	0.4884084184
252	0.4883713498
253	0.4883054301
254	0.4882787763
255	0.4882267749
256	0.4881546666
257	0.4881243624
258	0.4880662713
259	0.4880374381
260	0.487998718
261	0.4879373059
262	0.4878708841
263	0.4878299559
264	0.4877765665
265	0.4877391524
266	0.4877233914
267	0.4876742112
268	0.4876057007
269	0.4875870839
270	0.4875295248
271	0.4875030638
272	0.4874431553
273	0.4874267599
274	0.4873930406
275	0.4873549013
276	0.487290273
277	0.4872546384
278	0.4872140096
279	0.4871555002
280	0.4871113469
281	0.4870594454
282	0.4870203976
283	0.4869907143
284	0.4869362309
285	0.4868834613
286	0.4868466734
287	0.4868143279
288	0.4867592796
289	0.4867302599
290	0.486669842
291	0.4866297212
292	0.4865920939
293	0.4865613044
294	0.4865262318
295	0.4864948807
296	0.4864616095
297	0.4864168313
298	0.4863818757
299	0.4863383439
300	0.4862965758
301	0.4862504374
302	0.486197922
303	0.4861735046
304	0.4861345977
305	0.4860952098
306	0.4860593501
307	0.4860157612
308	0.4859923464
309	0.4859521955
310	0.4858887447
311	0.4858464667
312	0.4857932313
313	0.4857616304
314	0.4857289471
315	0.4856893645
316	0.4856312326
317	0.4856039404
318	0.4855464389
319	0.4855053378
320	0.4854813887
321	0.4854693557
322	0.4854326745
323	0.4854177578
324	0.4853737625
325	0.4853428748
326	0.4852998796
327	0.4852627113
328	0.4851917923
329	0.4851321105
330	0.485089274
331	0.4850546232
332	0.4850357289
333	0.4849860753
334	0.4849342628
335	0.4848967163
336	0.4848565084
337	0.4848225057
338	0.4847832661
339	0.4847423196
340	0.4846971399
341	0.4846718797
342	0.4846381045
343	0.4845744438
344	0.4845540279
345	0.4845217842
346	0.4844915705
347	0.4844440634
348	0.4844102398
349	0.4843720005
350	0.4843470493
351	0.4843035189
352	0.4842420878
353	0.4842178499
354	0.4841856674
355	0.4841465152
356	0.4840921246
357	0.4840505224
358	0.4840219246
359	0.4839935663
360	0.4839606601
361	0.4839186301
362	0.483868283
363	0.483829699
364	0.4837918383
365	0.4837629504
366	0.483708596
367	0.4836565484
368	0.4836089649
369	0.4835655409
370	0.4835227339
371	0.4834799464
372	0.4834496524
373	0.483414319
374	0.4833680769
375	0.4833332464
376	0.4833182781
377	0.4832791824
378	0.4832332473
379	0.4832009015
380	0.4831753063
381	0.4831277382
382	0.4830933265
383	0.4830549231
384	0.4830086423
385	0.4829753368
386	0.4829446464
387	0.4829086191
388	0.4828966069
389	0.4828681191
390	0.4828352008
391	0.4828105187
392	0.4827748108
393	0.482733532
394	0.4827063581
395	0.4826786482
396	0.4826354528
397	0.4825973558
398	0.4825699239
399	0.4825336028
400	0.4824920566
401	0.4824648337
402	0.4824074148
403	0.4823647048
404	0.4823307881
405	0.4822889987
406	0.4822304872
407	0.4821916933
408	0.4821687625
409	0.4821268777
410	0.4820803295
411	0.4820508731
412	0.4820252846
413	0.4819888156
414	0.4819616336
415	0.4819211722
416	0.481909419
417	0.4818663151
418	0.4818419088
419	0.4818110636
420	0.4817827415
421	0.4817375399
422	0.4817090604
423	0.4816619109
424	0.4816256759
425	0.4815816522
426	0.4815611643
427	0.4815291417
428	0.4814946653
429	0.4814788334
430	0.4814405367
431	0.4813884266
432	0.4813424242
433	0.4813131362
434	0.4812844099
435	0.4812561528
436	0.4812269391
437	0.4811862565
438	0.4811720596
439	0.4811334719
440	0.4811096794
441	0.4810813187
442	0.4810179409
443	0.480980685
444	0.4809544892
445	0.4809149689
446	0.4808808061
447	0.4808452811
448	0.4808222942
449	0.4807904239
450	0.4807620049
451	0.4807369561
452	0.4806942543
453	0.4806621169
454	0.4806304146
455	0.480589137
456	0.4805454464
457	0.4805177857
458	0.4804736818
459	0.4804397372
460	0.4804158604
461	0.4803868366
462	0.4803642416
463	0.4803272815
464	0.4803088717
465	0.4802715096
466	0.4802440284
467	0.4802218423
468	0.4801946981
469	0.4801481245
470	0.4800943975
471	0.4800457649
472	0.4799958002
473	0.4799604642
474	0.4799500035
475	0.4799104323
476	0.4798607681
477	0.4798459269
478	0.4798044765
479	0.4797713974
480	0.4797477912
481	0.479713015
482	0.4796878295
483	0.4796570865
484	0.4796444579
485	0.4796195731
486	0.4795904627
487	0.4795605314
488	0.4795395121
489	0.4794950129
490	0.4794660386
491	0.4794335842
492	0.479406698
493	0.4793952983
494	0.4793740244
495	0.479328633
496	0.4792805757
497	0.4792522662
498	0.4792293293
499	0.4791865778
500	0.479160295
501	0.4791109296
502	0.4790603306
503	0.4790198152
504	0.4789965742
505	0.4789607165
506	0.4789395834
507	0.4789087366
508	0.4788787317
509	0.4788440161
510	0.4788058753
511	0.4787725957
512	0.4787562136
513	0.4787056048
514	0.4786490434
515	0.4786174777
516	0.4785964043
517	0.4785615398
518	0.478522322
519	0.4784888738
520	0.4784513006
521	0.4784174507
522	0.4783948641
523	0.4783573697
524	0.4783225821
525	0.4782941526
526	0.4782551498
527	0.4782164657
528	0.478175505
529	0.4781583455
530	0.4781183852
531	0.4780784639
532	0.478050552
